Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Type Species?,Genome Composition,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL
2177,,,,,,,,,Picornavirales,,Secoviridae,,Torradovirus,,Carrot torradovirus 1,0,ssRNA(+),"New,",30,2015.006aP.A.v2.Torradovirus_2sp.pdf,ICTVonline=20182147
2178,,,,,,,,,Picornavirales,,Secoviridae,,Torradovirus,,Lettuce necrotic leaf curl virus,0,ssRNA(+),"New,",29,2014.004aP.A.v2.Torradovirus_sp.pdf,ICTVonline=20182148
2179,,,,,,,,,Picornavirales,,Secoviridae,,Torradovirus,,Motherwort yellow mottle virus,0,ssRNA(+),"New,",30,2015.006aP.A.v2.Torradovirus_2sp.pdf,ICTVonline=20182149
2180,,,,,,,,,Picornavirales,,Secoviridae,,Torradovirus,,Squash chlorotic leaf spot virus,0,ssRNA(+),"New,",31,2016.004a-cP.A.v3.Secoviridae_3sp.pdf,ICTVonline=20182150
2181,,,,,,,,,Picornavirales,,Secoviridae,,Torradovirus,,Tomato marchitez virus,0,ssRNA(+),"New,",25,2007.039-42P.v2.Torradovirus.pdf,ICTVonline=20182151
2182,,,,,,,,,Picornavirales,,Secoviridae,,Torradovirus,,Tomato torrado virus,1,ssRNA(+),"New,Assigned as Type Species,",25,2007.039-42P.v2.Torradovirus.pdf,ICTVonline=20182152
2183,,,,,,,,,Picornavirales,,Secoviridae,,Waikavirus,,Anthriscus yellows virus,0,ssRNA(+),"Moved,",25,2007.057-9P.Secoviridae.pdf,ICTVonline=20182159
2184,,,,,,,,,Picornavirales,,Secoviridae,,Waikavirus,,Bellflower vein chlorosis virus,0,ssRNA(+),"New,",31,2016.004a-cP.A.v3.Secoviridae_3sp.pdf,ICTVonline=20182160
2185,,,,,,,,,Picornavirales,,Secoviridae,,Waikavirus,,Maize chlorotic dwarf virus,0,ssRNA(+),"Moved,",25,2007.057-9P.Secoviridae.pdf,ICTVonline=20182161
2186,,,,,,,,,Picornavirales,,Secoviridae,,Waikavirus,,Rice tungro spherical virus,1,ssRNA(+),"Moved,",25,2007.057-9P.Secoviridae.pdf,ICTVonline=20182162
2187,,,,,,,,,Picornavirales,,Secoviridae,,,,Black raspberry necrosis virus,0,ssRNA(+),"New,",25,2009.007a-hP.v2.Secoviridae_changes.pdf,ICTVonline=20182154
2188,,,,,,,,,Picornavirales,,Secoviridae,,,,Chocolate lily virus A,0,ssRNA(+),"New,",31,2016.004a-cP.A.v3.Secoviridae_3sp.pdf,ICTVonline=20182155
2189,,,,,,,,,Picornavirales,,Secoviridae,,,,Dioscorea mosaic associated virus,0,ssRNA(+),"New,",32,2017.005P.A.v2.Secoviridae_5sp.zip,ICTVonline=20185630
2190,,,,,,,,,Picornavirales,,Secoviridae,,,,Strawberry latent ringspot virus,0,ssRNA(+),"Moved,",25,2009.007a-hP.v2.Secoviridae_changes.pdf,ICTVonline=20182156
2191,,,,,,,,,Picornavirales,,Secoviridae,,,,Strawberry mottle virus,0,ssRNA(+),"Moved,",25,2009.007a-hP.v2.Secoviridae_changes.pdf,ICTVonline=20182157
2192,,,,,,,,,Picornavirales,,,,Bacillarnavirus,,Chaetoceros socialis forma radians RNA virus 1,0,ssRNA(+),"New,",26,2009.015a-kP.A.v6.Bacillarnavirus.pdf,ICTVonline=20182166
2193,,,,,,,,,Picornavirales,,,,Bacillarnavirus,,Chaetoceros tenuissimus RNA virus 01,0,ssRNA(+),"New,",26,2009.015a-kP.A.v6.Bacillarnavirus.pdf,ICTVonline=20182167
2194,,,,,,,,,Picornavirales,,,,Bacillarnavirus,,Rhizosolenia setigera RNA virus 01,1,ssRNA(+),"New,Assigned as Type Species,",26,2009.015a-kP.A.v6.Bacillarnavirus.pdf,ICTVonline=20182168
2195,,,,,,,,,Picornavirales,,,,Labyrnavirus,,Aurantiochytrium single-stranded RNA virus 01,1,ssRNA(+),"New,Assigned as Type Species,",26,2009.012a-fP.A.v6.Labyrnavirus.pdf,ICTVonline=20182170
2196,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Alfalfa virus S,0,ssRNA(+),"New,",32,2017.021P.A.v3.Alpha-Betaflexiviridae_14sp.zip,ICTVonline=20185631
2197,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Arachis pintoi virus,0,ssRNA(+),"New,",32,2017.021P.A.v3.Alpha-Betaflexiviridae_14sp.zip,ICTVonline=20185632
2198,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Blackberry virus E,0,ssRNA(+),"New,",27,"2012.017a,bP.A.v2.Alphaflexiviridae-3sp.pdf",ICTVonline=20182231
2199,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic mite-borne filamentous virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182175
2200,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic virus A,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182176
2201,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic virus B,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182177
2202,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic virus C,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182178
2203,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic virus D,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182179
2204,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic virus E,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182180
2205,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Garlic virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182181
2206,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Shallot virus X,1,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182182
2207,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Allexivirus,,Vanilla latent virus,0,ssRNA(+),"New,",32,2017.021P.A.v3.Alpha-Betaflexiviridae_14sp.zip,ICTVonline=20185633
2208,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Botrexvirus,,Botrytis virus X,1,ssRNA(+),"New,Assigned as Type Species,",25,2007.014-017P.Botrexvirus.pdf,ICTVonline=20182184
2209,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Lolavirus,,Lolium latent virus,1,ssRNA(+),"New,Assigned as Type Species,",25,2008.008-011bP.v3.Lolavirus.pdf,ICTVonline=20182186
2210,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Mandarivirus,,Citrus yellow vein clearing virus,0,ssRNA(+),"New,",28,2013.003aP.A.v1.Mandarivirus_sp.pdf,ICTVonline=20182188
2211,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Mandarivirus,,Indian citrus ringspot virus,1,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182189
2212,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Platypuvirus,,Donkey orchid symptomless virus,1,ssRNA(+),"New,",30,2015.012a-dP.A.v4.Platypuvirus.pdf,ICTVonline=20182191
2213,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Actinidia virus X,0,ssRNA(+),"New,",32,2017.021P.A.v3.Alpha-Betaflexiviridae_14sp.zip,ICTVonline=20185634
2214,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Allium virus X,0,ssRNA(+),"New,",27,"2012.017a,bP.A.v2.Alphaflexiviridae-3sp.pdf",ICTVonline=20182193
2215,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Alstroemeria virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182194
2216,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Alternanthera mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182195
2217,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Asparagus virus 3,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182196
2218,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Bamboo mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182197
2219,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Cactus virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182198
2220,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Cassava common mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182199
2221,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Cassava virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182200
2222,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Clover yellow mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182201
2223,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Cymbidium mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182202
2224,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Foxtail mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182203
2225,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Hosta virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182204
2226,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Hydrangea ringspot virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182205
2227,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Lagenaria mild mosaic virus,0,ssRNA(+),"New,",27,"2012.017a,bP.A.v2.Alphaflexiviridae-3sp.pdf",ICTVonline=20182206
2228,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Lettuce virus X,0,ssRNA(+),"New,",25,"2009.005a,bP.v1.Potexvirus-Sp.pdf",ICTVonline=20182207
2229,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Lily virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182208
2230,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Malva mosaic virus,0,ssRNA(+),"New,",25,2008.006P.v2.Potexvirus-2Sp.pdf,ICTVonline=20182209
2231,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Mint virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182210
2232,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Narcissus mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182211
2233,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Nerine virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182212
2234,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Opuntia virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182213
2235,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Papaya mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182214
2236,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Pepino mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182215
2237,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Phaius virus X,0,ssRNA(+),"New,",25,2008.006P.v2.Potexvirus-2Sp.pdf,ICTVonline=20182216
2238,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Pitaya virus X,0,ssRNA(+),"New,",32,2017.021P.A.v3.Alpha-Betaflexiviridae_14sp.zip,ICTVonline=20185635
2239,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Plantago asiatica mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182217
2240,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Plantain virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182218
2241,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Potato aucuba mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182219
2242,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Potato virus X,1,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182220
2243,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Schlumbergera virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182221
2244,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Strawberry mild yellow edge virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182222
2245,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Tamus red mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182223
2246,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Tulip virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182224
2247,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Vanilla virus X,0,ssRNA(+),"New,",32,2017.021P.A.v3.Alpha-Betaflexiviridae_14sp.zip,ICTVonline=20185636
2248,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,White clover mosaic virus,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182225
2249,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Yam virus X,0,ssRNA(+),"New,",30,2015.013aP.A.v3.Potexvirus_sp.pdf,ICTVonline=20182226
2250,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Potexvirus,,Zygocactus virus X,0,ssRNA(+),"Moved,",25,2007.018-20P.v2.Alphaflexiviridae.pdf,ICTVonline=20182227
2251,,,,,,,,,Tymovirales,,Alphaflexiviridae,,Sclerodarnavirus,,Sclerotinia sclerotiorum debilitation-associated RNA virus,1,ssRNA(+),"New,Assigned as Type Species,",25,2007.010-013P.Sclerodarnavirus.pdf,ICTVonline=20182229
2252,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Aconitum latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182235
2253,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,American hop latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182236
2254,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Atractylodes mottle virus,0,ssRNA(+),"New,",32,2017.021P.A.v3.Alpha-Betaflexiviridae_14sp.zip,ICTVonline=20185637
2255,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Blueberry scorch virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182237
2256,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Butterbur mosaic virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182238
2257,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Cactus virus 2,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182239
2258,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Caper latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182240
2259,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Carnation latent virus,1,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182241
2260,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Chrysanthemum virus B,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182242
2261,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Cole latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182243
2262,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Coleus vein necrosis virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182244
2263,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Cowpea mild mottle virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182245
2264,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Cucumber vein-clearing virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182246
2265,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Daphne virus S,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182247
2266,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Gaillardia latent virus,0,ssRNA(+),"New,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182248
2267,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Garlic common latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182249
2268,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Helenium virus S,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182250
2269,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Helleborus mosaic virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182251
2270,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Helleborus net necrosis virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182252
2271,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Hippeastrum latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182253
2272,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Hop latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182254
2273,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Hop mosaic virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182255
2274,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Hydrangea chlorotic mottle virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182256
2275,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Kalanchoe latent virus,0,ssRNA(+),"Renamed,",32,2017.001G.A.v2.43spren.zip,ICTVonline=20182257
2276,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Ligustrum necrotic ringspot virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182258
2277,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Ligustrum virus A,0,ssRNA(+),"New,",32,2017.021P.A.v3.Alpha-Betaflexiviridae_14sp.zip,ICTVonline=20185638
2278,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Lily symptomless virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182259
2279,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Melon yellowing-associated virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182260
2280,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Mirabilis jalapa mottle virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182261
2281,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Narcissus common latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182262
2282,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Nerine latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182263
2283,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Passiflora latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182264
2284,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Pea streak virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182265
2285,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Phlox virus B,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182266
2286,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Phlox virus M,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182267
2287,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Phlox virus S,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182268
2288,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Poplar mosaic virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182269
2289,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Potato latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182270
2290,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Potato virus H,0,ssRNA(+),"New,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182271
2291,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Potato virus M,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182272
2292,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Potato virus P,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182273
2293,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Potato virus S,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182274
2294,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Red clover vein mosaic virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182275
2295,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Sambucus virus C,0,ssRNA(+),"New,",32,2017.021P.A.v3.Alpha-Betaflexiviridae_14sp.zip,ICTVonline=20185639
2296,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Sambucus virus D,0,ssRNA(+),"New,",32,2017.021P.A.v3.Alpha-Betaflexiviridae_14sp.zip,ICTVonline=20185640
2297,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Sambucus virus E,0,ssRNA(+),"New,",32,2017.021P.A.v3.Alpha-Betaflexiviridae_14sp.zip,ICTVonline=20185641
2298,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Shallot latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182276
2299,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Sint-Jan onion latent virus,0,ssRNA(+),"Renamed,",32,2017.001G.A.v2.43spren.zip,ICTVonline=20182277
2300,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Strawberry pseudo mild yellow edge virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182278
2301,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Sweet potato C6 virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182279
2302,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Sweet potato chlorotic fleck virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182280
2303,,,,,,,,,Tymovirales,,Betaflexiviridae,Quinvirinae,Carlavirus,,Verbena latent virus,0,ssRNA(+),"Moved,",30,2015.011a-adP.A.v2.Betaflexiviridae_rev.pdf,ICTVonline=20182281
